microFaces RMS diag_mesh_0 diag_mesh_1 max mean min n_samples
1252 4.2792305521288654e-07 59.258670806884766 59.87022157936725 1.4769816516491119e-06 3.4146009397773014e-07 5.807976322103059e-10 633 
1360 4.332620449076785e-07 59.24626922607422 59.87022157936725 1.4006042192704626e-06 3.4680334692893666e-07 4.925349017526059e-10 687 
1414 4.288708908006811e-07 59.258670806884766 59.87022157936725 1.4006042192704626e-06 3.425854799843364e-07 4.925349017526059e-10 714 
1660 4.3083224454676383e-07 59.37792205810547 59.87022157936725 1.4769816516491119e-06 3.430603214837902e-07 5.807976322103059e-10 842 
3136 4.363440950783115e-07 59.395538330078125 59.87022157936725 1.4769816516491119e-06 3.468329339284537e-07 4.6346748661107995e-10 1576 
556 4.276693346128013e-07 59.13033676147461 59.87022157936725 1.3842297903465806e-06 3.3878711747092893e-07 4.6346748661107995e-10 283 
562 4.291707682568813e-07 59.13033676147461 59.87022157936725 1.3842297903465806e-06 3.4033030260616215e-07 4.6346748661107995e-10 286 
568 4.3047020881203935e-07 59.13033676147461 59.87022157936725 1.3842297903465806e-06 3.4314535923840594e-07 4.6346748661107995e-10 291 
664 4.4669042154055205e-07 59.13722229003906 59.87022157936725 1.4006042192704626e-06 3.534754284828523e-07 4.6346748661107995e-10 339 
682 4.412956116084388e-07 59.1499137878418 59.87022157936725 1.4006042192704626e-06 3.47645908505001e-07 6.229576854366314e-10 346 
742 4.3938103999607847e-07 59.24626922607422 59.87022157936725 1.4006042192704626e-06 3.433335677982541e-07 6.229576854366314e-10 376 
760 4.501686987623543e-07 59.24626922607422 59.87022157936725 1.4006042192704626e-06 3.547938547399099e-07 6.229576854366314e-10 387 
