microFaces RMS diag_mesh_0 diag_mesh_1 max mean min n_samples
2342 nan 3.464101552963257 182.75629381831655 0.0 nan inf 0  // valore a caso?
11984 0.11212266981601715 181.21115112304688 182.75629381831655 0.7378964424133301 0.07767922431230545 0.0 6042 
2996 0.11183862388134003 181.03114318847656 182.75629381831655 0.6627950072288513 0.07658842951059341 0.0 1524 
3176 0.10923156887292862 181.03114318847656 182.75629381831655 0.6401185393333435 0.07568132132291794 0.0 1614 
3524 0.11336355656385422 181.03114318847656 182.75629381831655 0.64789217710495 0.07754302024841309 0.0 1788 
4232 0.11317407339811325 181.03114318847656 182.75629381831655 0.6401185393333435 0.07863491028547287 0.0 2142 
8048 0.1072908565402031 181.04214477539062 182.75629381831655 0.7309728264808655 0.07325249910354614 0.0 4066 

// copia
11984 9.517969488115341e-07 181.30137634277344 182.75629381831655 4.288709533284418e-06 7.095126761669235e-07 0.0 6042 
2996 9.819880233408185e-07 181.10845947265625 182.75629381831655 4.010721568192821e-06 7.187072128544969e-07 0.0 1524 
3176 9.602188129065325e-07 180.87139892578125 182.75629381831655 4.0297968553204555e-06 7.041311391731142e-07 0.0 1614 
3524 9.54596885094361e-07 181.10845947265625 182.75629381831655 4.010721568192821e-06 7.008788998064119e-07 0.0 1788 
4232 9.436148502572905e-07 181.1129913330078 182.75629381831655 4.010721568192821e-06 7.000401751611207e-07 0.0 2142 
8048 9.541201961837942e-07 180.94772338867188 182.75629381831655 4.010721568192821e-06 6.991310783632798e-07 0.0 4066 
