microFaces RMS diag_mesh_0 diag_mesh_1 max mean min n_samples
2342 nan 3.464101552963257 182.75629381831655 0.0 nan inf 0 
11984 0.1052885353565216 181.08473205566406 182.75629381831655 0.7404261827468872 0.07134924829006195 0.0 5864 
2996 0.10867836326360703 181.00335693359375 182.75629381831655 0.6275316476821899 0.07317354530096054 0.0 1435 
3176 0.11011159420013428 181.00335693359375 182.75629381831655 0.6627950072288513 0.0740291178226471 0.0 1526 
3524 0.10968514531850815 181.00335693359375 182.75629381831655 0.6627950072288513 0.07423085719347 0.0 1695 
4232 0.10956693440675735 181.00335693359375 182.75629381831655 0.6627950072288513 0.07498616725206375 0.0 2012 
8048 0.10662022233009338 181.0782928466797 182.75629381831655 0.6627950072288513 0.07125436514616013 0.0 3904 
11984 9.263677043236385e-07 181.10345458984375 182.75629381831655 4.217248260829365e-06 6.702779842271411e-07 0.0 5864 
2996 9.296639973399579e-07 180.87139892578125 182.75629381831655 4.010721568192821e-06 6.613700520574639e-07 0.0 1435 
3176 9.355902079732914e-07 180.87139892578125 182.75629381831655 4.010721568192821e-06 6.687483846690156e-07 0.0 1526 
3524 9.517156058791443e-07 180.936767578125 182.75629381831655 4.010721568192821e-06 6.900293669787061e-07 0.0 1695 
4232 9.414451938027923e-07 180.936767578125 182.75629381831655 4.010721568192821e-06 6.897509479131259e-07 0.0 2012 
8048 9.497163659943908e-07 181.02862548828125 182.75629381831655 4.010721568192821e-06 6.842470838819281e-07 0.0 3904 
