microFaces RMS diag_mesh_0 diag_mesh_1 max mean min n_samples
None 4.642753026473656e-07 59.31565475463867 59.87022157936725 1.4967969264034764e-06 3.619195751980442e-07 4.925349017526059e-10 566 
None 4.599411056460667e-07 59.446990966796875 59.87022157936725 1.4967969264034764e-06 3.5979118706563895e-07 4.925349017526059e-10 615 
None 4.558101238671952e-07 59.446990966796875 59.87022157936725 1.4967969264034764e-06 3.5650469953907304e-07 4.925349017526059e-10 643 
None 4.4491019934866927e-07 59.446990966796875 59.87022157936725 1.4967969264034764e-06 3.4887850119957875e-07 4.925349017526059e-10 751 
None 4.423045538715087e-07 59.609779357910156 59.87022157936725 1.5133515489651472e-06 3.4807288784577395e-07 4.6346748661107995e-10 1470 
None 4.499429451243486e-07 59.05715560913086 59.87022157936725 1.3842297903465806e-06 3.599910201046441e-07 5.807976322103059e-10 231 
None 4.5098198597770534e-07 59.05715560913086 59.87022157936725 1.3842297903465806e-06 3.610666681197472e-07 5.807976322103059e-10 234 
None 4.5069091925142857e-07 59.05715560913086 59.87022157936725 1.3842297903465806e-06 3.6141531722932996e-07 5.807976322103059e-10 236 
None 4.396474651002791e-07 59.05715560913086 59.87022157936725 1.3842297903465806e-06 3.51078142557526e-07 5.807976322103059e-10 274 
None 4.3550488726395997e-07 59.09978485107422 59.87022157936725 1.3842297903465806e-06 3.473680010301905e-07 5.807976322103059e-10 284 
None 4.389684420402773e-07 59.09978485107422 59.87022157936725 1.3842297903465806e-06 3.482891770545393e-07 5.807976322103059e-10 312 
None 4.420794539328199e-07 59.09978485107422 59.87022157936725 1.3842297903465806e-06 3.4960407901962753e-07 5.807976322103059e-10 323 
